Column_0,Column_1,Column_2,Column_3,Column_4
S.No,Name of the Company/Drive,Personal interaction, Technical questions,Programming questions
1,Cognizant,"1. Write a program to remove minimum element in an array
2. Question on oops concept
3. Question on sorting algorithm (Linear , bubble and quick sort)
4. Logical reasoning question
5. Introducing myself. 
6. Connectivity n network at my native. 
7. What is c language
8. Keywords in c
9. Logic of basic programs like palindrome reverse of a string 
10. Oops concepts in Java 
11. Method overloading n method overriding
12. They asked me to explain abt projects
13. And she gave me few situations in company and roles to explain how ull overcome those situations
14. Tell me about yourself, 
15. Strengths and weakness, 
16. Where do you see yourself in 5 years. 
Questions were asked on python programming and ECE related questions 
17. introduce your self.
18.Asked about which programming language you are learning.
19.simple question based on that language in my case it was c++, interviewer asked why c++ is better than c (ans- oops,stl).
20.  (3-4) aptitude questions.
21. A situation based question.
22. Preffered job location.
23. Java oops concepts with explanation
24. Access modifiers
25. Tokens in c
26. Data types in c
27. What are interfaces?
28. How do you handle rude customers?
29. Talk about bangalore for 1 minute
30. Strength and weakness?
31. Project explanation
32. Hobbies","Java oops concepts
Java oops concepts with explanation
Access modifiers
Tokens in c
Data types in c
What are interfaces?
Explains project and your contribution in project. 
Being an ECE student y software job. 
What is pivot table(Excel sheet). 
Aptitude question. (A car is moving at a speed of 40kmph for 3 hrs and at 60kmph for 2 hours what is the avg. Speed of the car). 
What is slicing, 
What is bubble sort logic
What is passband and stop band, what is slew rate, 8056 microcontroller architecture
Asked about which programming language you are learning.
simple question based on that language in my case it was c++, interviewer asked why c++ is better than c (ans- oops,stl).
","1. Write a program to remove minimum element in an array
2. Question on oops concept
3. Question on sorting algorithm (Linear , bubble and quick sort) 
4. Why c++ is better than c .
5. General concepts.. Language didn't mentioned. 
6. What is an array. 
7. What is oops. 
8. What is data abstraction
9. What is inheritance
10. What is SAP. 
11. What is c language
12. Keywords in c
13. Logic of basic programs like palindrome reverse of a string 
14. Oops concepts in Java 
15. Method overloading n method overriding
16. Differentiate between C and C++ and which language is better, 
17. what is a list in python 
18. difference between tuples and list 
19. what is scope

"
2,Deloitte ,"1.Technical questions were related to SQL, database, basics of programming and data science( in this i have done extra courses ) 
2. Interviewer firstly asked me to introduce myself.
3.  Asked about my Hobbies.
4.  What different softwares I have worked with.
5. Explain Bubble Sort Program.
6.  Asked about my permanent address.
7.  About my Education.
8.  Asked about their company.
9.  What errors I have encountered during coding
10. Finally any questions for them
11.  My interviewer was cool & friendly.
12.  I confidently answered my questions in such a way that won't bore the listener (i extended my knowledge in an question asked).
Suggestion: Please convey students to update their resume for every company with required information that would relate to the JD.
13. The technical round went on for long, have to be thorough about the projects, 
14. Final HR round was really good, he was very nice and pleasant and polished
15. Would you be ready to live outside bangalore, 
16. what do you think about the laboratory infrastructure of cmrit, is there anything that you've done that you would never let your parents know 
17. how was the whole selection process, 
18. explain any one project of yours, what other interviews have you given and what have you learnt from them
19. Tell me about yourself, failures of life, full detailed explanation about any project, situations based questions , behavioral questions , higher studies question, relocations question , working environment preferred
20. Explain your project followed by some counter questions by the HR.
21. Referring to your resume it could be seen your active participation in co-curricular activities, how did it affect you? Was it useful? 
22. Why Deloitte?
23. Why test analyst position when you are really good in development of a product?
24. Why should we hire you? 
25. The interviewer asked me to explain my project in detail. 
26. He was interested in the internship that i took part in. 
27. He asked me basic questions about IoT and cloud computing.
28. This round will be easy for you if you write truth in your resume. 
29. Truth will make your 50% task done . Rest they only asked questions related to the skills I have written in resume and followed by some HR questions. ","1. Basics of SQL , database. 
2. Data visualization tools and their concepts
3. Versions of Tableau(visualization tool)
4. Algorithms for Data science. 
5. Which are the hardest subjects i have encountered during my engineering course.
6. What is a diode, 
7. what is the difference between watts and volts, 
8. use of matlab, 
9. develop a solar powerhouse stating how many panels would be required and cost involvement for obtaining 1MW of power, 
10. explain your latest project
11. Project Based Questions , 
12. Idea about the project, 
13. problems faced during the project, 
14. web development, 
15. DSA Based questions , concepts , logics
16. Most questions were related to projects. 
17. They changed the scenario & asked counter questions. 
18. Questions were asked about electronic components used. ","1. Basics of Python .
2. Libraries used for machine learning. 
3. Algorithms for different ML techniques . 
4. Wiring language. 
5. Bubble Sort Program logic
6. Types of errors i have encountered in coding 

"
3,Oracle,"Q1 Tell me about yourself
Q2 What did you like about Bengalore
Q3 How was your school Life
Q4 Were you part of any club, what did you do there","OOPS, Basic Java, DBMS","1. develop the logic/algorithm with constraints to create a bot for automating procurement in a supply chain
2.Array, String based question. 
3. Programming Language used - Java Basic JAVA "
4,Capgemini,"1.Tell me about yourself and technical skills
2.what is your weakness 
3. About family background4.
4. Which computer language u know
5. Simple questions
6.Self intro 
7. What your father do? 
8. Any questions? 
9. Basics of java
10. Oops
Cloud computing 
Tell me a about projects 
Why did you choose this company
What is oops 
What is normalisation
Difference between foreign key and primary keyOverall experience was good. 
Few of the asked questions are:
hobbies
Strength and weakness.
Biggest strength,
Opinion about team work. C8
About project, why this company and how will you lead a team 
oops concept , basic question in python.
oops, bsic java ques,
why capgemini
what movie you have watched recently, 
what are your hobbies, 
what you have done in holidays, 
why you have joined ece rather than cse.
what ability u have to do under pressure?,
what qualities u have for leadership?
Intermediate to difficult 
What does your father do? 
Latest technology, 
about the company.
The interviewer tested my knowledge in basics of C language, and also asked me to tell a few words about myself.
The interviewer also asked if I was flexible to work and if I could adapt to the new technologies.
List the differences between C and C++
Features of OOPs
Questions about Mini-projects
Technical questions such as what is pointer, reference.  
Basic coding questions.  My extra curricular activities was mainly highlighted, questions on leadership qualities in college clubs. And few HR questions like : you're from ece ,why IT job? 
tell about your technical skills. 
Basic questions about project and difference between c and c++ were asked .
ECE basics
Hobbies
Was good ,be honest ","1 what is cloud computing 
2.Types of services provided by cloud
3.About project 
In java
Polymorphism
Inheritence 
Cloud computing
Method 
About JVM, JRE, JDK
Cloud computing 
IP address 
What is oops
Normalisation
Different between foreign key and primary key
What are current trends in IT
What is IOT and explain 
Java related questions,operators,vvariables, constructors,methods
Jvm, polymorphism, method overriding,byte code, Fibonacci code
Explain why python is used
String slicing
Select random variables using loops
Oops principles, types of polymorphism, method, table creation in html
Oops concepts, basic python concept.Basic java ques, What is difference between c++ and python, What is inheritance, what are the built in functions in python
What is slicing ?What is cloud Service?,what is infrastructure?what company provides cloud service?
Java, python,c
Polymorphism
Inheritence Method Construction
JVM, JRE, JDK
Cloud computing
Questions on OOPS concept and cloud computing 
1.What project I have done ?
2.What tools I have used in making the projects?
Web infrastructure, cloud services 
What is pointer?
Array Reference 
Explain about your project, tell about your technical skills. 
Tell about your project and technical skills. 
""Difference between C /C++
Python modules 
Python basics
Python, oops ","1.Files extensions of C,C++ and Java
2. Basics of python
3. Difference b/w c and python
4. Oops concept of python
5. ""C/C++ difference.
6. Python modules.""
7. Programming isn't needed
"
5,Accenture,"Introduce yourself
Tell me about your project
How did you deal with conflict in team
Are you willing to relocate
What are your strengths and weakness
Do you have any Questions for me 
",About project,Basic python 
6,BOSCH ,"Technical and HR
Questions based on project
Tell me about your family background.
Do have any questions to ask me (yes)","About microcontroller, microprocessor, kcl, kvl, opamp, project explanation
Questions based on project
Write logic gates and explain.
How batter will charge it self in car",Basic questions
7,Ceptus Software ,"why sales as a profession??
sell me your project.
sell me an app as a company (vendor).
Sell a product
why ceptes?
why sales and marketing""
Introduce Yourself 
Why Sales and Marketing 
sell me paytm app
what is salesforce 
How will you handle conflicts""
Introduction, questions related to company,
What is  sales and marketing""
why your showing interest in sales not in ur education stream ?
Situation based questions ( Like how u would sell Google pay to others ) 
Have you organized any events ?  ""
Questions on Database 
Questions on Salesforce
Questions on Company
Questions on how you deal with situations (basically analysis)""
","1) what is salesforce 
2) what is CRM 
3) what does ceptes do
4) what are products of ceptes 
No questions were asked technically.
Database",No questions were asked on programming.
8,Clarivate analytics ,"more sql questions were asked, and questions related to dbms
the questions asked were very basic.
they mostly asked some basic queries and some basic programming questions ""
Self introduction
","OOPS concept, Queries, Programming questions
technical questions included Oops concepts like abstract and interface, deep and shallow copy, virtual functions.
data structure
","programming language is of your choice, string palindrome, largest palindrome in a sentence
programming questions included swapping of two numbers, reverse of a string
Array max and min element,pattern questions (c++)
"
9,"Cordis India Pvt Ltd, Bangalore",Basic HR questions ,"Project explaination
Programming questions
Data Structures real-time questions",Print numbers which are both prime and palindrome from 1 to 1000 without using any built-in functions and taking time complexity and space complexity into consideration
